file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D1B7B4B,0,0,0,1,,page154:tag2:entity0:key00000000:ref0:ord0,,Mama...,Ah-h-h-h...,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,1,1,1,1,,page154:tag2:entity1:key00000000:ref1:ord0,Mama...,Ah-h-h-h...,Zzz...,,,,NOT_CHECKED,11,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,2,2,2;5;7,3,,page154:tag2:entity5:key00000003:ref2:ord0;page154:tag2:entity2:key00000000:ref5:ord0;page154:tag2:entity7:key00000000:ref7:ord0,Ah-h-h-h...,Zzz...,"Ho,ho,ho,ho...!",,,,NOT_CHECKED,6,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=3
5D1B7B4B,3,3,3,1,,page154:tag2:entity4:key00000002:ref3:ord0,Zzz...,"Ho,ho,ho,ho...!",Hah!,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,4,4,4,1,,page154:tag2:entity3:key00000001:ref4:ord0,"Ho,ho,ho,ho...!",Hah!,Zzz...,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,5,6,6,1,,page154:tag2:entity6:key00000000:ref6:ord0,Zzz...,「どなた！？」,Zzz...,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,6,8,8,1,,page154:tag2:entity8:key00000000:ref8:ord0,Zzz...,Hunnh...?,「誰だ！」,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,7,9,9,1,,page154:tag2:entity9:key00000000:ref9:ord0,Hunnh...?,「誰だ！」,「誰もいない」（扉を覗いたプレイヤーの本体でのみ発声）,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,8,10,10,1,,page154:tag2:entity10:key00000000:ref10:ord0,「誰だ！」,「誰もいない」（扉を覗いたプレイヤーの本体でのみ発声）,「いない」（上記バリエーション）,,,,NOT_CHECKED,81,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
5D1B7B4B,9,11,11,1,,page154:tag2:entity11:key00000000:ref11:ord0,「誰もいない」（扉を覗いたプレイヤーの本体でのみ発声）,「いない」（上記バリエーション）,Mmm?,,,,NOT_CHECKED,48,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=1
