file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes
5D3AF5CD,0,0,0;0,2,,page1889:tag2:entity9:key00000009:ref0:ord0;page1892:tag2:entity9:key00000009:ref0:ord0,,"娘か？　君が<R=代表者,デレガド>か？","<R=父さん,ミ・ビエホ>は殺された","<R=代表者,デレガド>",,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,1,1,1;1,2,,page1889:tag2:entity8:key00000008:ref1:ord0;page1892:tag2:entity8:key00000008:ref1:ord0,"娘か？　君が<R=代表者,デレガド>か？","<R=父さん,ミ・ビエホ>は殺された",…死んだ,"<R=父さん,ミ・ビエホ>",,,NOT_CHECKED,44,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,2,2,2;2,2,,page1889:tag2:entity7:key00000007:ref2:ord0;page1892:tag2:entity7:key00000007:ref2:ord0,"<R=父さん,ミ・ビエホ>は殺された",…死んだ,"<R=父さん,ミ・ビエホ>…",,,,NOT_CHECKED,12,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,3,3,3;3,2,,page1889:tag2:entity6:key00000006:ref3:ord0;page1892:tag2:entity6:key00000006:ref3:ord0,…死んだ,"<R=父さん,ミ・ビエホ>…","人を探している お前達の<R=司令官,コマンダンテ>","<R=父さん,ミ・ビエホ>",,,NOT_CHECKED,32,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,4,4,4;4,2,,page1889:tag2:entity5:key00000005:ref4:ord0;page1892:tag2:entity5:key00000005:ref4:ord0,"<R=父さん,ミ・ビエホ>…","人を探している お前達の<R=司令官,コマンダンテ>","<R=FSLN,サンディニスタ>か？","<R=司令官,コマンダンテ>",,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,5,5,5;5,2,,page1889:tag2:entity4:key00000004:ref5:ord0;page1892:tag2:entity4:key00000004:ref5:ord0,"人を探している お前達の<R=司令官,コマンダンテ>","<R=FSLN,サンディニスタ>か？",どうする？,"<R=FSLN,サンディニスタ>",,,NOT_CHECKED,36,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,6,6,6;6,2,,page1889:tag2:entity3:key00000003:ref6:ord0;page1892:tag2:entity3:key00000003:ref6:ord0,"<R=FSLN,サンディニスタ>か？",どうする？,まさか,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,7,7,7;7,2,,page1889:tag2:entity2:key00000002:ref7:ord0;page1892:tag2:entity2:key00000002:ref7:ord0,どうする？,まさか,"<R=葉巻,シガー>でも…なんでも 吸いたい気分なの",,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,8,8,8;8,2,,page1889:tag2:entity13:key0000000D:ref8:ord0;page1892:tag2:entity13:key0000000D:ref8:ord0,まさか,"<R=葉巻,シガー>でも…なんでも 吸いたい気分なの","<R=葉巻,シガー>か…","<R=葉巻,シガー>",,,NOT_CHECKED,66,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
5D3AF5CD,9,9,9;9,2,,page1889:tag2:entity12:key0000000C:ref9:ord0;page1892:tag2:entity12:key0000000C:ref9:ord0,"<R=葉巻,シガー>でも…なんでも 吸いたい気分なの","<R=葉巻,シガー>か…","吸うか？　<R=葉巻,キューバ>だ","<R=葉巻,シガー>",,,NOT_CHECKED,26,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=2
