file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
5DCBA83B,0,0,0;0;0;0;0,5,,page4:tag3:entity4:key00226AA7:ref0:ord0;page10:tag4:entity4:key00226AA7:ref0:ord0;page16:tag5:entity4:key00226AA7:ref0:ord0;page22:tag3:entity4:key00226AA7:ref0:ord0;page292:tag6:entity4:key00226AA7:ref0:ord0,,"$1
エラーコード: $2 ($3)","ただいまサーバが混雑しています。
しばらく時間をおいて再度リクエストしてください。",$1 | $2 | $3,,,NOT_CHECKED,30,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,"$1
错误代码：$2 ($3)","[""$1\n错误代码：$2 ($3)""]","$1
Error code: $2 ($3)","[""$1\nError code: $2 ($3)""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,1,1,1;1;1;1;1,5,,page4:tag3:entity1:key0009E8FA:ref1:ord0;page10:tag4:entity1:key0009E8FA:ref1:ord0;page16:tag5:entity1:key0009E8FA:ref1:ord0;page22:tag3:entity1:key0009E8FA:ref1:ord0;page292:tag6:entity1:key0009E8FA:ref1:ord0,"$1
エラーコード: $2 ($3)","ただいまサーバが混雑しています。
しばらく時間をおいて再度リクエストしてください。","データに禁止語句が含まれています。
禁止語句は自動的に他の語に置き換えられますが、
このまま変換を行ってよろしいですか？",,,,NOT_CHECKED,121,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,"服务器当前繁忙。
请稍后重试你的请求。","[""服务器当前繁忙。\n请稍后重试你的请求。""]","The server is currently busy.
Please wait and try your request again later.","[""The server is currently busy.\nPlease wait and try your request again later.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,2,2,2;2;2;2;2,5,,page4:tag3:entity22:key00B091DB:ref2:ord0;page10:tag4:entity22:key00B091DB:ref2:ord0;page16:tag5:entity22:key00B091DB:ref2:ord0;page22:tag3:entity22:key00B091DB:ref2:ord0;page292:tag6:entity22:key00B091DB:ref2:ord0,"ただいまサーバが混雑しています。
しばらく時間をおいて再度リクエストしてください。","データに禁止語句が含まれています。
禁止語句は自動的に他の語に置き換えられますが、
このまま変換を行ってよろしいですか？","すでに変換リクエスト済みのデータがあります。
「変換済みデータを受信」からデータを受け取ってください。",,,,NOT_CHECKED,176,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,"数据包含被禁止的词语或短语。
被禁止的词语和短语将自动替换
为其他词语。
确定要继续转换吗？","[""数据包含被禁止的词语或短语。\n被禁止的词语和短语将自动替换\n为其他词语。\n确定要继续转换吗？""]","The data contains prohibited words or phrases.
Prohibited words and phrases will automatically be replaced
with other words.
Are you sure you want to continue with conversion?","[""The data contains prohibited words or phrases.\nProhibited words and phrases will automatically be replaced\nwith other words.\nAre you sure you want to continue with conversion?""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,3,3,3;3;3;3;3,5,,page4:tag3:entity10:key004B78C8:ref3:ord0;page10:tag4:entity10:key004B78C8:ref3:ord0;page16:tag5:entity10:key004B78C8:ref3:ord0;page22:tag3:entity10:key004B78C8:ref3:ord0;page292:tag6:entity10:key004B78C8:ref3:ord0,"データに禁止語句が含まれています。
禁止語句は自動的に他の語に置き換えられますが、
このまま変換を行ってよろしいですか？","すでに変換リクエスト済みのデータがあります。
「変換済みデータを受信」からデータを受け取ってください。",変換リクエストに失敗しました。,,,,NOT_CHECKED,151,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,"转换后的数据已存在。
选择“下载转换后的数据”以获取数据。","[""转换后的数据已存在。\n选择“下载转换后的数据”以获取数据。""]","Converted data already exists.
Select ""DOWNLOAD CONVERTED DATA"" to retrieve the data.","[""Converted data already exists.\nSelect \""DOWNLOAD CONVERTED DATA\"" to retrieve the data.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,4,4,4;4;4;4;4,5,,page4:tag3:entity24:key00BEF714:ref4:ord0;page10:tag4:entity24:key00BEF714:ref4:ord0;page16:tag5:entity24:key00BEF714:ref4:ord0;page22:tag3:entity24:key00BEF714:ref4:ord0;page292:tag6:entity24:key00BEF714:ref4:ord0,"すでに変換リクエスト済みのデータがあります。
「変換済みデータを受信」からデータを受け取ってください。",変換リクエストに失敗しました。,"変換処理中です。
しばらくお待ちください。",,,,NOT_CHECKED,45,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,转换请求失败。,"[""转换请求失败。""]",Conversion request failed.,"[""Conversion request failed.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,5,5,5;5;5;5;5,5,,page4:tag3:entity26:key00CA0045:ref5:ord0;page10:tag4:entity26:key00CA0045:ref5:ord0;page16:tag5:entity26:key00CA0045:ref5:ord0;page22:tag3:entity26:key00CA0045:ref5:ord0;page292:tag6:entity26:key00CA0045:ref5:ord0,変換リクエストに失敗しました。,"変換処理中です。
しばらくお待ちください。",現在お預かりしているデータはありません。,,,,NOT_CHECKED,61,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,"正在转换…
请稍候。","[""正在转换…\n请稍候。""]","Converting...
Please wait.","[""Converting...\nPlease wait.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,6,6,6;6;6;6;6,5,,page4:tag3:entity23:key00B75BB2:ref6:ord0;page10:tag4:entity23:key00B75BB2:ref6:ord0;page16:tag5:entity23:key00B75BB2:ref6:ord0;page22:tag3:entity23:key00B75BB2:ref6:ord0;page292:tag6:entity23:key00B75BB2:ref6:ord0,"変換処理中です。
しばらくお待ちください。",現在お預かりしているデータはありません。,データの変換に失敗しました。,,,,NOT_CHECKED,60,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,当前没有可下载的数据。,"[""当前没有可下载的数据。""]",Currently there is no data available for download.,"[""Currently there is no data available for download.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,7,7,7;7;7;7;7,5,,page4:tag3:entity7:key0030367E:ref7:ord0;page10:tag4:entity7:key0030367E:ref7:ord0;page16:tag5:entity7:key0030367E:ref7:ord0;page22:tag3:entity7:key0030367E:ref7:ord0;page292:tag6:entity7:key0030367E:ref7:ord0,現在お預かりしているデータはありません。,データの変換に失敗しました。,VOCALOIDデータの取得に失敗しました。,,,,NOT_CHECKED,42,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,数据转换失败。,"[""数据转换失败。""]",Failed to convert data.,"[""Failed to convert data.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,8,8,8;8;8;8;8,5,,page4:tag3:entity0:key0005D276:ref8:ord0;page10:tag4:entity0:key0005D276:ref8:ord0;page16:tag5:entity0:key0005D276:ref8:ord0;page22:tag3:entity0:key0005D276:ref8:ord0;page292:tag6:entity0:key0005D276:ref8:ord0,データの変換に失敗しました。,VOCALOIDデータの取得に失敗しました。,エラーが発生しました。,,,,NOT_CHECKED,50,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,获取VOCALOID数据失败。,"[""获取VOCALOID数据失败。""]",Failed to obtain VOCALOID data.,"[""Failed to obtain VOCALOID data.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
5DCBA83B,9,9,9;9;9;9;9,5,,page4:tag3:entity12:key0050E171:ref9:ord0;page10:tag4:entity12:key0050E171:ref9:ord0;page16:tag5:entity12:key0050E171:ref9:ord0;page22:tag3:entity12:key0050E171:ref9:ord0;page292:tag6:entity12:key0050E171:ref9:ord0,VOCALOIDデータの取得に失敗しました。,エラーが発生しました。,接続がタイムアウトしました。,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=SLOT_OLANG; source_objects=5,发生了错误。,"[""发生了错误。""]",An error has occurred.,"[""An error has occurred.""]",AUX_CN_ATTACHED,exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_slot_page_tag_reference_index;validated_slot_olang_map_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
