file_id,unique_index,first_reference_index,reference_indices,reference_count,scene_context,entity_context,previous_jpn_text,jpn_text,next_jpn_text,jpn_control_tokens,cn_text,cn_control_tokens,control_structure_status,jpn_utf8_bytes,cn_utf8_bytes,translation_status,build_status,ingame_status,translation_basis,notes,mlg_cn_reference,mlg_cn_reference_variants,eng_reference,eng_reference_variants,reference_status,reference_method,reference_reason
LANG_BRIEFING.OLANG,0,0,0;0,2,,page7:tag:entity23:key00BE55EF:ref0:ord0;page174:tag:entity23:key00BE55EF:ref0:ord0,,BRIEFING FILES,・,,,,NOT_CHECKED,14,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,简报文件,"[""简报文件""]",BRIEFING FILES,"[""BRIEFING FILES""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,1,1,1;1,2,,page7:tag:entity14:key006CFDA1:ref1:ord0;page174:tag:entity14:key006CFDA1:ref1:ord0,BRIEFING FILES,・,このミッションについて$1$2,,,,NOT_CHECKED,3,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,：,"[""："","":""]",: ,"["": ""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context; multiple candidates aggregated from all real JPN references; split/merge/order mismatch remains possible
LANG_BRIEFING.OLANG,2,2,2;2,2,,page7:tag:entity13:key005CB77E:ref2:ord0;page174:tag:entity13:key005CB77E:ref2:ord0,・,このミッションについて$1$2,ファイルライブラリ$1$2,$1 | $2,,,NOT_CHECKED,37,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,关于本次任务 $1 $2,"[""关于本次任务 $1 $2""]",ABOUT THIS MISSION $1 $2,"[""ABOUT THIS MISSION $1 $2""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,3,3,3;3,2,,page7:tag:entity0:key0006DFC8:ref3:ord0;page174:tag:entity0:key0006DFC8:ref3:ord0,このミッションについて$1$2,ファイルライブラリ$1$2,NEXT,$1 | $2,,,NOT_CHECKED,31,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,文件库 $1 $2,"[""文件库 $1 $2""]",FILE LIBRARY $1 $2,"[""FILE LIBRARY $1 $2""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,4,4,4;4,2,,page7:tag:entity21:key00B4BBE3:ref4:ord0;page174:tag:entity21:key00B4BBE3:ref4:ord0,ファイルライブラリ$1$2,NEXT,スキップ：,,,,NOT_CHECKED,4,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,下一步,"[""下一步""]",NEXT,"[""NEXT""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,5,5,5;5,2,,page7:tag:entity22:key00B5B581:ref5:ord0;page174:tag:entity22:key00B5B581:ref5:ord0,NEXT,スキップ：,保存：　保存せず終了：,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,跳过：,"[""跳过：""]",SKIP: ,"[""SKIP: ""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,6,6,6;6,2,,page7:tag:entity10:key002DFD93:ref6:ord0;page174:tag:entity10:key002DFD93:ref6:ord0,スキップ：,保存：　保存せず終了：,ザドルノフ,,,,NOT_CHECKED,33,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,保存：   不保存退出：,"[""保存：   不保存退出：""]",SAVE:   QUIT WITHOUT SAVING:,"[""SAVE:   QUIT WITHOUT SAVING:""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,7,7,7;7,2,,page7:tag:entity16:key007C8CCB:ref7:ord0;page174:tag:entity16:key007C8CCB:ref7:ord0,保存：　保存せず終了：,ザドルノフ,女性２,,,,NOT_CHECKED,15,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,Zadornov,"[""Zadornov""]",Zadornov,"[""Zadornov""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,8,8,8;8,2,,page7:tag:entity18:key0081A65E:ref8:ord0;page174:tag:entity18:key0081A65E:ref8:ord0,ザドルノフ,女性２,女性１,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,女性2,"[""女性2""]",FEMALE 2,"[""FEMALE 2""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,9,9,9;9,2,,page7:tag:entity17:key0081A65D:ref9:ord0;page174:tag:entity17:key0081A65D:ref9:ord0,女性２,女性１,UNKNOWN,,,,NOT_CHECKED,9,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,女性1,"[""女性1""]",FEMALE 1,"[""FEMALE 1""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,10,10,10;10,2,,page7:tag:entity3:key001B585C:ref10:ord0;page174:tag:entity3:key001B585C:ref10:ord0,女性１,UNKNOWN,ストレンジラブ,,,,NOT_CHECKED,7,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,未知,"[""未知""]",Unknown,"[""Unknown""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
LANG_BRIEFING.OLANG,11,11,11;11,2,,page7:tag:entity4:key00201843:ref11:ord0;page174:tag:entity4:key00201843:ref11:ord0,UNKNOWN,ストレンジラブ,スネーク＆ミラー,,,,NOT_CHECKED,21,,NOT_STARTED,NOT_BUILT,NOT_TESTED,JPN_PRIMARY; MLG_CN_CONTEXT_AUXILIARY,mechanical template; resource_class=STAGEDAT_OLANG; source_objects=2,Strangelove,"[""Strangelove""]",Strangelove,"[""Strangelove""]",AUX_CN_ATTACHED,exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity,master status=AUX_CN_ATTACHED; mapping method=exact_jpn_stagedat_page_entry_reference_index;same_page_en_companion_entity_identity; candidate attached as auxiliary evidence only; verify against JPN and context; auxiliary candidates only; JPN remains authoritative; verify against JPN text and context
